구,동내,단지명,동,계약년월,계약일,거래금액(만원),등기일자
제주시,외도일동,외도부영1차,104,202410,19,27400,24.12.13
제주시,노형동,노형2차아이파크,202,202410,19,123000,24.12.20
제주시,용담이동,헤르지아,-,202410,18,34000,24.10.18
제주시,일도이동,평화(2차),-,202410,18,22000,24.12.12
제주시,연동,해월루,-,202410,18,6500,24.10.21
제주시,애월읍,제주하귀휴먼시아1단지,106,202410,18,45000,24.12.11
제주시,외도일동,외도에이스아크로빌2차,-,202410,18,32700,-
제주시,외도일동,외도에이스아크로빌2차,-,202410,18,32700,24.10.30
제주시,일도이동,일도더팰리스,-,202410,18,34800,24.10.30
제주시,노형동,한화,101,202410,18,95000,25.01.31
제주시,이도이동,엘루체,-,202410,17,11000,24.10.24
제주시,외도일동,부영(2차),-,202410,17,41500,-
제주시,도련일동,도련영도갤럭시타운,-,202410,17,35000,-
제주시,외도일동,부영(2차),-,202410,17,41500,-
제주시,화북이동,제주삼화사랑으로부영2차,-,202410,17,54000,-
제주시,화북이동,제주삼화사랑으로부영2차,205,202410,17,54000,24.12.17
제주시,도련이동,제주삼화사랑으로부영1차,108,202410,17,53700,24.12.09
제주시,이호이동,해밀타운,-,202410,16,32000,-
제주시,일도이동,일도위더스빌23차,-,202410,16,43500,24.10.30
제주시,월평동,제주첨단꿈에그린2단지아파트,205동,202410,16,49800,25.01.20
제주시,도두일동,블루파크시티,-,202410,16,15200,24.10.17
제주시,노형동,노형뜨란채,216,202410,16,59900,25.02.28
제주시,화북이동,제주삼화엘에이치2단지,209,202410,16,61000,24.12.20
제주시,연동,연동한일씨티파크,-,202410,15,38500,25.01.10
제주시,노형동,덕진웰리브,-,202410,15,36000,24.11.07
제주시,연동,연동한일씨티파크,-,202410,15,38500,25.01.10
제주시,이도이동,영도갤럭시타운,-,202410,15,12400,24.10.22
제주시,외도일동,외도부영1차,103,202410,15,14000,24.10.24
제주시,도남동,도남1차e-편한세상,도남1차e-편한세상 106,202410,14,58000,24.12.06
제주시,월평동,제주첨단꿈에그린2단지아파트,212동,202410,14,54000,24.11.28
제주시,연동,벽강하이본타워,-,202410,14,9000,24.11.18
